id,lhs,support,confidance,lift
0,"Apple Honeycrisp Organic, Bag of Organic Bananas,  ",0.007212558336869,0.272,2.25542304309587
1,"Apple Honeycrisp Organic, Organic Hass Avocado,  ",0.004773016546457,0.18,2.77747954173486
2,"Apple Honeycrisp Organic, Organic Strawberries,  ",0.004348748408994,0.164,2.06710160427807
3,"Bag of Organic Bananas, Green Bell Pepper,  ",0.003818413237166,0.031662269129288,2.01697211723597
4,"Bag of Organic Bananas, Large Alfresco Eggs,  ",0.003075943996606,0.025505716798593,2.0207386384633
5,"Bag of Organic Bananas, Organic Baby Carrots,  ",0.005833686890115,0.048372911169745,2.10165809450855
6,"Bag of Organic Bananas, Organic Bartlett Pear,  ",0.003288078065337,0.02726473175022,2.31578280127093
7,"Bag of Organic Bananas, Organic Cucumber,  ",0.006788290199406,0.056288478452067,2.31741386395671
8,"Bag of Organic Bananas, Organic D'Anjou Pears,  ",0.004242681374629,0.035180299032542,2.31943957537625
9,"Bag of Organic Bananas, Organic Gala Apples,  ",0.006364022061943,0.052770448548813,2.34679145716135
10,"Bag of Organic Bananas, Organic Garlic,  ",0.008485362749258,0.070360598065084,2.09261740869908
11,"Bag of Organic Bananas, Organic Grade A Free Range Large Brown Eggs,  ",0.003500212134069,0.029023746701847,2.46518814328841
12,"Bag of Organic Bananas, Organic Granny Smith Apple,  ",0.00519728468392,0.043095866314864,2.34860015963315
13,"Bag of Organic Bananas, Organic Hass Avocado,  ",0.019304200254561,0.160070360598065,2.46995639888471
14,"Bag of Organic Bananas, Organic Kiwi,  ",0.003818413237166,0.031662269129288,2.40735381734616
15,"Bag of Organic Bananas, Organic Large Brown Grade AA Cage Free Eggs,  ",0.003500212134069,0.029023746701847,2.37944246873925
16,"Bag of Organic Bananas, Organic Large Extra Fancy Fuji Apple,  ",0.006470089096309,0.053649956024626,2.38590464811404
17,"Bag of Organic Bananas, Organic Lemon,  ",0.007848960543063,0.065083553210202,2.35098750829804
18,"Bag of Organic Bananas, Organic Navel Orange,  ",0.003818413237166,0.031662269129288,2.76399882732337
19,"Bag of Organic Bananas, Organic Raspberries,  ",0.012940178192618,0.107299912049252,2.49168367192205
20,"Bag of Organic Bananas, Organic Red Bell Pepper,  ",0.004666949512092,0.038698328935796,2.02693247337047
21,"Bag of Organic Bananas, Organic Small Bunch Celery,  ",0.005833686890115,0.048372911169745,2.3033323561028
22,"Bag of Organic Bananas, Organic Tomato Cluster,  ",0.004879083580823,0.040457343887423,2.08432698453893
23,"Bag of Organic Bananas, Organic Unsweetened Almond Milk,  ",0.004030547305897,0.033421284080915,2.17307494010251
24,"Bag of Organic Bananas, Unsweetened Almondmilk,  ",0.004348748408994,0.036059806508355,2.59520500580743
25,"Banana, Bartlett Pears,  ",0.004136614340263,0.02773826458037,2.42144776355303
26,"Banana, Broccoli Crown,  ",0.003606279168434,0.024182076813656,2.07262381999224
27,"Banana, Clementines, Bag,  ",0.004666949512092,0.031294452347084,2.63432229221703
28,"Banana, Cucumber Kirby,  ",0.009546033092915,0.064011379800854,2.27735580665074
29,"Banana, Granny Smith Apples,  ",0.003500212134069,0.023470839260313,2.08757615609651
30,"Banana, Honeycrisp Apple,  ",0.010182435299109,0.06827880512091,2.5852713842568
31,"Banana, Organic Fuji Apple,  ",0.010394569367841,0.069701280227596,2.47046492475855
32,"Banana, Organic Peeled Whole Baby Carrots,  ",0.005515485787017,0.036984352773827,2.34019112719219
33,"Banana, Unsweetened Original Almond Breeze Almond Milk,  ",0.004666949512092,0.031294452347084,2.43838096469675
34,"Banana, Whipped Cream Cheese,  ",0.003288078065337,0.022048364153627,2.18812607621472
35,"Bunched Cilantro, Limes,  ",0.004136614340263,0.3,7.30852713178295
36,"Carrots, Organic Strawberries,  ",0.003394145099703,0.161616161616162,2.03705504240264
37,"Cucumber Kirby, Large Lemon,  ",0.004136614340263,0.147169811320755,3.21929693998161
38,"Cucumber Kirby, Organic Avocado,  ",0.003924480271532,0.139622641509434,2.5121417254789
39,"Fresh Cauliflower, Organic Hass Avocado,  ",0.003394145099703,0.160804020100503,2.48127708921037
40,"Grated Parmesan, Organic Baby Spinach,  ",0.003182011030972,0.205479452054794,2.82399456847318
41,"Honeycrisp Apple, Organic Avocado,  ",0.003500212134069,0.132530120481928,2.38453048836568
42,"Jalapeno Peppers, Limes,  ",0.003182011030972,0.285714285714286,6.96050203026947
43,"Large Lemon, Limes,  ",0.007106491302503,0.155452436194896,3.78709449210717
44,"Large Lemon, Organic Avocado,  ",0.006045820958846,0.132250580046404,2.3795008944227
45,"Large Lemon, Organic Garlic,  ",0.00445481544336,0.097447795823666,2.89822655844013
46,"Lime Sparkling Water, Sparkling Water Grapefruit,  ",0.00445481544336,0.28,11.6807079646018
47,"Limes, Organic Avocado,  ",0.006576156130675,0.160206718346253,2.88249797818411
48,"Limes, Organic Baby Spinach,  ",0.006151887993212,0.149870801033592,2.05974039671239
49,"Limes, Organic Cilantro,  ",0.005091217649555,0.124031007751938,6.09043927648579
50,"Limes, Organic Garlic,  ",0.003500212134069,0.085271317829457,2.53608197001932
51,"Limes, Organic Hass Avocado,  ",0.005621552821383,0.136950904392765,2.11321297318328
52,"Limes, Organic Raspberries,  ",0.003924480271532,0.095607235142119,2.22016013034457
53,"Limes, Organic Yellow Onion,  ",0.003075943996606,0.074935400516796,2.04188137593165
54,"Limes, Yellow Onions,  ",0.003394145099703,0.082687338501292,3.91746847934764
55,"Michigan Organic Kale, Organic Hass Avocado,  ",0.003606279168434,0.17989417989418,2.77584669074031
56,"Organic Avocado, Organic Baby Arugula,  ",0.003288078065337,0.059160305343512,2.52381610307071
57,"Organic Avocado, Organic Baby Spinach,  ",0.008803563852355,0.158396946564886,2.1769189682416
58,"Organic Avocado, Organic Garlic,  ",0.00519728468392,0.093511450381679,2.78115442964818
59,"Organic Avocado, Organic Grape Tomatoes,  ",0.003500212134069,0.062977099236641,2.31030385837764
60,"Organic Baby Arugula, Organic Baby Spinach,  ",0.003500212134069,0.149321266968326,2.05218790813029
61,"Organic Baby Carrots, Organic Baby Spinach,  ",0.004136614340263,0.179723502304147,2.47001921242493
62,"Organic Baby Carrots, Organic Hass Avocado,  ",0.003288078065337,0.142857142857143,2.20434884264671
63,"Organic Baby Carrots, Organic Strawberries,  ",0.0037123462028,0.161290322580645,2.03294807659134
64,"Organic Baby Spinach, Organic Cilantro,  ",0.004348748408994,0.059766763848397,2.93479713313897
65,"Organic Baby Spinach, Organic Cucumber,  ",0.004985150615189,0.068513119533528,2.8207060740703
66,"Organic Baby Spinach, Organic Garlic,  ",0.006470089096309,0.088921282798834,2.64463676412431
67,"Organic Baby Spinach, Organic Garnet Sweet Potato (Yam),  ",0.003924480271532,0.053935860058309,2.90575593502707
68,"Organic Baby Spinach, Organic Granny Smith Apple,  ",0.003075943996606,0.042274052478134,2.30381368071589
69,"Organic Baby Spinach, Organic Hass Avocado,  ",0.00965210012728,0.13265306122449,2.04689535388624
70,"Organic Baby Spinach, Organic Large Extra Fancy Fuji Apple,  ",0.003288078065337,0.045189504373178,2.00965399636944
71,"Organic Baby Spinach, Organic Small Bunch Celery,  ",0.004030547305897,0.055393586005831,2.63762994375239
72,"Organic Baby Spinach, Organic Strawberries,  ",0.012515910055155,0.17201166180758,2.1680828175426
