,lhs,support,confidance,lift
0,"Apple Honeycrisp Organic, Bag of Organic Bananas,  ",0.007212558336868901,0.27199999999999996,2.255423043095866
1,"Apple Honeycrisp Organic, Organic Hass Avocado,  ",0.004773016546457361,0.18,2.7774795417348606
2,"Apple Honeycrisp Organic, Organic Strawberries,  ",0.0043487484089944845,0.16399999999999998,2.0671016042780743
3,"Bag of Organic Bananas, Green Bell Pepper,  ",0.003818413237165889,0.0316622691292876,2.0169721172359694
4,"Bag of Organic Bananas, Large Alfresco Eggs,  ",0.003075943996605855,0.02550571679859279,2.020738638463301
5,"Bag of Organic Bananas, Organic Baby Carrots,  ",0.005833686890114553,0.048372911169744945,2.10165809450855
6,"Bag of Organic Bananas, Organic Bartlett Pear,  ",0.003288078065337293,0.02726473175021988,2.3157828012709283
7,"Bag of Organic Bananas, Organic Cucumber,  ",0.0067882901994060245,0.056288478452066845,2.317413863956708
8,"Bag of Organic Bananas, Organic D'Anjou Pears,  ",0.004242681374628765,0.03518029903254178,2.319439575376251
9,"Bag of Organic Bananas, Organic Gala Apples,  ",0.006364022061943148,0.052770448548812667,2.346791457161348
10,"Bag of Organic Bananas, Organic Garlic,  ",0.00848536274925753,0.07036059806508356,2.0926174086990783
11,"Bag of Organic Bananas, Organic Grade A Free Range Large Brown Eggs,  ",0.0035002121340687313,0.029023746701846966,2.4651881432884073
12,"Bag of Organic Bananas, Organic Granny Smith Apple,  ",0.005197284683920237,0.04309586631486367,2.3486001596331487
13,"Bag of Organic Bananas, Organic Hass Avocado,  ",0.019304200254560883,0.1600703605980651,2.4699563988847095
14,"Bag of Organic Bananas, Organic Kiwi,  ",0.003818413237165889,0.0316622691292876,2.4073538173461575
15,"Bag of Organic Bananas, Organic Large Brown Grade AA Cage Free Eggs,  ",0.0035002121340687313,0.029023746701846966,2.3794424687392453
16,"Bag of Organic Bananas, Organic Large Extra Fancy Fuji Apple,  ",0.006470089096308867,0.05364995602462621,2.385904648114037
17,"Bag of Organic Bananas, Organic Lemon,  ",0.007848960543063216,0.06508355321020229,2.350987508298035
18,"Bag of Organic Bananas, Organic Navel Orange,  ",0.003818413237165889,0.0316622691292876,2.7639988273233658
19,"Bag of Organic Bananas, Organic Raspberries,  ",0.012940178192617734,0.10729991204925242,2.4916836719220488
20,"Bag of Organic Bananas, Organic Red Bell Pepper,  ",0.004666949512091642,0.03869832893579595,2.026932473370468
21,"Bag of Organic Bananas, Organic Small Bunch Celery,  ",0.005833686890114553,0.048372911169744945,2.3033323561028047
22,"Bag of Organic Bananas, Organic Tomato Cluster,  ",0.00487908358082308,0.040457343887423045,2.084326984538931
23,"Bag of Organic Bananas, Organic Unsweetened Almond Milk,  ",0.004030547305897327,0.03342128408091469,2.173074940102508
24,"Bag of Organic Bananas, Unsweetened Almondmilk,  ",0.0043487484089944845,0.03605980650835532,2.595205005807435
25,"Banana, Bartlett Pears,  ",0.004136614340263046,0.027738264580369845,2.4214477635530267
26,"Banana, Broccoli Crown,  ",0.0036062791684344504,0.02418207681365576,2.072623819992241
27,"Banana, Clementines, Bag,  ",0.004666949512091642,0.031294452347083924,2.634322292217029
28,"Banana, Cucumber Kirby,  ",0.009546033092914722,0.06401137980085349,2.277355806650742
29,"Banana, Granny Smith Apples,  ",0.0035002121340687313,0.023470839260312945,2.0875761560965134
30,"Banana, Honeycrisp Apple,  ",0.010182435299109036,0.06827880512091038,2.5852713842567994
31,"Banana, Organic Fuji Apple,  ",0.010394569367840474,0.06970128022759602,2.4704649247585535
32,"Banana, Organic Peeled Whole Baby Carrots,  ",0.005515485787017395,0.03698435277382646,2.340191127192187
33,"Banana, Unsweetened Original Almond Breeze Almond Milk,  ",0.004666949512091642,0.031294452347083924,2.438380964696754
34,"Banana, Whipped Cream Cheese,  ",0.003288078065337293,0.022048364153627313,2.188126076214719
35,"Bunched Cilantro, Limes,  ",0.004136614340263046,0.3,7.308527131782945
36,"Carrots, Organic Strawberries,  ",0.0033941450997030122,0.1616161616161616,2.0370550424026357
37,"Cucumber Kirby, Large Lemon,  ",0.004136614340263046,0.1471698113207547,3.2192969399816134
38,"Cucumber Kirby, Organic Avocado,  ",0.003924480271531608,0.13962264150943396,2.5121417254788994
39,"Fresh Cauliflower, Organic Hass Avocado,  ",0.0033941450997030122,0.16080402010050251,2.4812770892103724
40,"Grated Parmesan, Organic Baby Spinach,  ",0.003182011030971574,0.2054794520547945,2.8239945684731818
41,"Honeycrisp Apple, Organic Avocado,  ",0.0035002121340687313,0.1325301204819277,2.384530488365676
42,"Jalapeno Peppers, Limes,  ",0.003182011030971574,0.2857142857142857,6.960502030269471
43,"Large Lemon, Limes,  ",0.007106491302503182,0.15545243619489557,3.7870944921071716
44,"Large Lemon, Organic Avocado,  ",0.006045820958845991,0.13225058004640372,2.3795008944226987
45,"Large Lemon, Organic Garlic,  ",0.004454815443360204,0.09744779582366589,2.8982265584401325
46,"Lime Sparkling Water, Sparkling Water Grapefruit,  ",0.004454815443360204,0.28,11.68070796460177
47,"Limes, Organic Avocado,  ",0.006576156130674586,0.16020671834625322,2.882497978184113
48,"Limes, Organic Baby Spinach,  ",0.00615188799321171,0.14987080103359174,2.059740396712395
49,"Limes, Organic Cilantro,  ",0.005091217649554518,0.12403100775193798,6.090439276485789
50,"Limes, Organic Garlic,  ",0.0035002121340687313,0.08527131782945736,2.536081970019319
51,"Limes, Organic Hass Avocado,  ",0.0056215528213831144,0.13695090439276486,2.113212973183285
52,"Limes, Organic Raspberries,  ",0.003924480271531608,0.09560723514211887,2.2201601303445733
53,"Limes, Organic Yellow Onion,  ",0.003075943996605855,0.07493540051679587,2.0418813759316516
54,"Limes, Yellow Onions,  ",0.0033941450997030122,0.082687338501292,3.9174684793476424
55,"Michigan Organic Kale, Organic Hass Avocado,  ",0.0036062791684344504,0.17989417989417988,2.7758466907403077
56,"Organic Avocado, Organic Baby Arugula,  ",0.003288078065337293,0.059160305343511445,2.523816103070706
57,"Organic Avocado, Organic Baby Spinach,  ",0.008803563852354689,0.1583969465648855,2.1769189682416044
58,"Organic Avocado, Organic Garlic,  ",0.005197284683920237,0.09351145038167938,2.7811544296481805
59,"Organic Avocado, Organic Grape Tomatoes,  ",0.0035002121340687313,0.06297709923664122,2.3103038583776394
60,"Organic Baby Arugula, Organic Baby Spinach,  ",0.0035002121340687313,0.1493212669683258,2.052187908130285
61,"Organic Baby Carrots, Organic Baby Spinach,  ",0.004136614340263046,0.1797235023041475,2.470019212424931
62,"Organic Baby Carrots, Organic Hass Avocado,  ",0.003288078065337293,0.14285714285714288,2.204348842646715
63,"Organic Baby Carrots, Organic Strawberries,  ",0.0037123462028001695,0.16129032258064516,2.03294807659134
64,"Organic Baby Spinach, Organic Cilantro,  ",0.0043487484089944845,0.059766763848396506,2.93479713313897
65,"Organic Baby Spinach, Organic Cucumber,  ",0.004985150615188799,0.06851311953352769,2.8207060740703014
66,"Organic Baby Spinach, Organic Garlic,  ",0.006470089096308867,0.08892128279883382,2.644636764124307
67,"Organic Baby Spinach, Organic Garnet Sweet Potato (Yam),  ",0.003924480271531608,0.05393586005830904,2.9057559350270723
68,"Organic Baby Spinach, Organic Granny Smith Apple,  ",0.003075943996605855,0.042274052478134115,2.3038136807158867
69,"Organic Baby Spinach, Organic Hass Avocado,  ",0.009652100127280442,0.1326530612244898,2.0468953538862356
70,"Organic Baby Spinach, Organic Large Extra Fancy Fuji Apple,  ",0.003288078065337293,0.04518950437317784,2.009653996369437
71,"Organic Baby Spinach, Organic Small Bunch Celery,  ",0.004030547305897327,0.05539358600583091,2.6376299437523927
72,"Organic Baby Spinach, Organic Strawberries,  ",0.012515910055154858,0.17201166180758018,2.1680828175426012
